Order ID,Order Date,Customer Name,Region,Category,Sales,Quantity,Profit,Discount
CA-2016-152156,08-11-2016,Claire Gute,South,Furniture,261.96,2,41.91,0%
CA-2016-152156,08-11-2016,Claire Gute,South,Furniture,731.94,3,219.58,0%
CA-2016-138688,12-06-2016,Darrin Van Huff,West,Office Supplies,14.62,2,6.87,0%
US-2015-108966,11-10-2015,Sean O'Donnell,South,Furniture,957.58,5,-383.03,45%
US-2015-108966,11-10-2015,Sean O'Donnell,South,Office Supplies,22.37,2,2.52,20%
CA-2014-115812,09-06-2014,Brosina Hoffman,West,Furniture,48.86,7,14.17,0%
CA-2014-115812,09-06-2014,Brosina Hoffman,West,Office Supplies,7.28,4,1.97,0%
CA-2014-115812,09-06-2014,Brosina Hoffman,West,Technology,907.15,6,90.72,20%
CA-2014-115812,09-06-2014,Brosina Hoffman,West,Office Supplies,18.5,3,5.78,20%
CA-2014-115812,09-06-2014,Brosina Hoffman,West,Office Supplies,114.9,5,34.47,0%
CA-2014-115812,09-06-2014,Brosina Hoffman,West,Furniture,1706.18,9,85.31,20%
CA-2014-115812,09-06-2014,Brosina Hoffman,West,Technology,911.42,4,68.36,20%
CA-2017-114412,15-04-2017,Brosina Hoffman,South,Office Supplies,15.55,3,5.44,20%
CA-2016-161389,05-12-2016,Irene Maddox,West,Office Supplies,407.98,3,132.59,20%
US-2015-118983,22-11-2015,Harold Pawlan,Central,Office Supplies,68.81,5,-123.86,80%
US-2015-118983,22-11-2015,Harold Pawlan,Central,Office Supplies,2.54,3,-3.82,80%
CA-2014-105893,11-11-2014,Pete Kriz,Central,Office Supplies,665.88,6,13.32,0%
CA-2014-167164,13-05-2014,Alejandro Grove,West,Office Supplies,55.5,2,9.99,0%
CA-2014-143336,27-08-2014,Zuschuss Donatelli,West,Office Supplies,8.56,2,2.48,0%
CA-2014-143336,27-08-2014,Zuschuss Donatelli,West,Technology,213.48,3,16.01,20%
CA-2014-143336,27-08-2014,Zuschuss Donatelli,West,Office Supplies,22.72,4,7.38,20%
CA-2016-137330,09-12-2016,Ken Black,Central,Office Supplies,19.46,7,5.06,0%
CA-2016-137330,09-12-2016,Ken Black,Central,Office Supplies,60.34,7,15.69,0%
US-2017-156909,16-07-2017,Sandra Flanagan,East,Furniture,71.37,2,-1.02,30%
