customer_id,customer_name,country,Region
U3522,Claire Gute,United States,South
U9214,Claire Gute,United States,South
U7307,Darrin Van Huff,United States,West
U3612,Sean O'Donnell,United States,South
U3492,Sean O'Donnell,United States,South
U7439,Brosina Hoffman,United States,West
U8948,Brosina Hoffman,United States,West
U8672,Brosina Hoffman,United States,West
U2205,Brosina Hoffman,United States,West
U7411,Brosina Hoffman,United States,West
U7405,Brosina Hoffman,United States,West
U8337,Brosina Hoffman,United States,West
U5398,Brosina Hoffman,United States,South
U9001,Irene Maddox,United States,West
U8797,Harold Pawlan,United States,Central
U4706,Harold Pawlan,United States,Central
U9985,Pete Kriz,United States,Central
U2654,Alejandro Grove,United States,West
U3339,Zuschuss Donatelli,United States,West
U4958,Zuschuss Donatelli,United States,West
U4475,Zuschuss Donatelli,United States,West
U9036,Ken Black,United States,Central
U5581,Ken Black,United States,Central
U2186,Sandra Flanagan,United States,East
U1250,Emily Burns,United States,West
U9226,Eric Hoffmann,United States,West
U6560,Eric Hoffmann,United States,West
U6714,Tracy Blumstein,United States,East
U9034,Tracy Blumstein,United States,East
U6352,Tracy Blumstein,United States,East
U3527,Tracy Blumstein,United States,East
U5680,Tracy Blumstein,United States,East
U7501,Tracy Blumstein,United States,East
U5249,Tracy Blumstein,United States,East
U2503,Matt Abelman,United States,Central
U2121,Gene Hale,United States,Central
U8163,Gene Hale,United States,Central
U7014,Steve Nguyen,United States,Central
U7194,Steve Nguyen,United States,Central
U9507,Steve Nguyen,United States,Central
U4192,Steve Nguyen,United States,Central
U9682,Linda Cazamias,United States,Central
U7627,Ruben Ausman,United States,West
U4731,Erin Smith,United States,South
U2786,Odella Nelson,United States,Central
U2840,Odella Nelson,United States,Central
U6356,Patrick O'Donnell,United States,Central
U6759,Lena Hernandez,United States,East
U4435,Lena Hernandez,United States,East
U2969,Darren Powers,United States,Central
U3229,Darren Powers,United States,Central
U1054,Darren Powers,United States,Central
U7545,Darren Powers,United States,Central
U4644,Janet Molinari,United States,East
U8650,Janet Molinari,United States,East
U4046,Ted Butterfield,United States,East
U3423,Ted Butterfield,United States,East
U5408,Ted Butterfield,United States,East
U9368,Ted Butterfield,United States,East
U1711,Ted Butterfield,United States,East
U5744,Ted Butterfield,United States,East
U6994,Ted Butterfield,United States,East
U6712,Kunst Miller,United States,West
U2160,Kunst Miller,United States,West
U7127,Kunst Miller,United States,West
U3898,Kunst Miller,United States,West
U6253,Paul Stevenson,United States,Central
U1979,Brendan Sweed,United States,West
U6147,Brendan Sweed,United States,West
U9582,Karen Daniels,United States,South
U8284,Henry MacAllister,United States,East
U3080,Tracy Blumstein,United States,Central
U4581,Joel Eaton,United States,South
U9571,Joel Eaton,United States,South
U3460,Joel Eaton,United States,South
U9232,Ken Brennan,United States,Central
U8505,Ken Brennan,United States,Central
U3076,Ken Brennan,United States,Central
U4010,Joel Eaton,United States,Central
U4596,Stewart Carmichael,United States,South
U7464,Stewart Carmichael,United States,South
U4250,Duane Noonan,United States,West
U4459,Duane Noonan,United States,West
U7979,Julie Creighton,United States,South
U8000,Christopher Schild,United States,Central
U9811,Patrick O'Donnell,United States,South
U5699,Paul Gonzalez,United States,Central
U7553,Paul Gonzalez,United States,Central
U1411,Gary Mitchum,United States,Central
U3631,Jim Sink,United States,West
U4672,Jim Sink,United States,West
U6502,Jim Sink,United States,West
U5810,Karl Braun,United States,Central
U5500,Karl Braun,United States,Central
U4838,Karl Braun,United States,Central
U4915,Roger Barcio,United States,West
U3700,Parhena Norris,United States,East
U3944,Katherine Ducich,United States,West
U8168,Elpida Rittenbach,United States,Central
U4498,Rick Bensley,United States,Central
U4989,Rick Bensley,United States,Central
U3086,Rick Bensley,United States,Central
U6335,Gary Zandusky,United States,Central
U3014,Lena Cacioppo,United States,West
U9609,Lena Cacioppo,United States,West
U7185,Lena Cacioppo,United States,West
U5797,Janet Martin,United States,South
U4618,Janet Martin,United States,South
U3088,Janet Martin,United States,South
U6690,Pete Armstrong,United States,Central
U6357,Cynthia Voltz,United States,East
U9268,Clay Ludtke,United States,Central
U3636,Clay Ludtke,United States,Central
U3902,Ryan Crowe,United States,East
U9863,Ryan Crowe,United States,East
U6785,Ryan Crowe,United States,East
U5514,Ryan Crowe,United States,East
U5360,Dave Kipp,United States,West
U3068,Greg Guthrie,United States,South
U7568,Steven Cartwright,United States,East
U1902,Steven Cartwright,United States,East
U7447,Steven Cartwright,United States,East
U4226,Steven Cartwright,United States,East
U3378,Steven Cartwright,United States,East
U9243,Alan Dominguez,United States,Central
U3823,Philip Fox,United States,Central
U7983,Troy Staebel,United States,West
U1439,Troy Staebel,United States,West
U2672,Lindsay Shagiari,United States,West
U2519,Lindsay Shagiari,United States,West
U5934,Dorothy Wardle,United States,East
U5235,Dorothy Wardle,United States,East
U8300,Dorothy Wardle,United States,East
U4258,Lena Creighton,United States,West
U7738,Lena Creighton,United States,West
U1312,Lena Creighton,United States,West
U6889,Lena Creighton,United States,West
U4164,Lena Creighton,United States,West
U8961,Lena Creighton,United States,West
U9809,Lena Creighton,United States,West
U6855,Jonathan Doherty,United States,East
U4079,Sally Hughsby,United States,West
U7326,Sally Hughsby,United States,West
U7214,Sally Hughsby,United States,West
U7805,Sandra Glassco,United States,Central
U2850,Helen Andreada,United States,West
U5778,Maureen Gastineau,United States,East
U8326,Justin Ellison,United States,Central
